gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000248527	35096.476	0.2394	0.473	0.5817	0.6882
ENSG00000198744	1856.0715	0.9594	0.7324	0.1037	0.1886
ENSG00000273547	0.6676	-0.3725	1.2218	0.5024	NA
ENSG00000283574	0.0858	-0.0476	1.2919	0.9197	NA
ENSG00000229376	3.7657	0.5573	0.7822	0.3582	0.48
ENSG00000228327	403.5528	0.3142	0.3938	0.398	0.5195
ENSG00000223181	0.4742	-0.4315	1.2523	0.4272	NA
ENSG00000229905	0.2573	-0.1865	1.2965	0.6951	NA
ENSG00000237491	53.1636	-0.9341	0.4332	0.0205	0.0522
ENSG00000230092	18.1296	-2.2819	0.5929	0	1e-04
ENSG00000177757	6.513	-0.7269	0.7438	0.2206	0.3348
ENSG00000228794	323.3545	-0.8651	0.4457	0.0363	0.0827
ENSG00000225880	20.4723	1.0899	0.4541	0.0093	0.0272
ENSG00000230368	8.0282	0.5091	0.709	0.3786	0.5005
ENSG00000234711	0.2814	0.2825	1.3052	0.5553	NA
ENSG00000223764	0.7526	0.5899	1.185	0.3244	NA
ENSG00000187634	0.4553	0.3579	1.1936	0.5303	NA
ENSG00000188976	1669.4582	1.9719	0.4525	0	0
ENSG00000187961	122.3444	4.0988	0.632	0	0
ENSG00000187583	20.8988	3.4401	0.7275	0	0
ENSG00000187642	4.7999	3.2801	1.3431	1e-04	7e-04
ENSG00000272512	3.6982	1.4952	1.0561	0.0294	0.07
ENSG00000188290	44.5521	5.0565	0.8886	0	0
ENSG00000187608	159.2764	4.201	0.7672	0	0
ENSG00000231702	0.1029	-0.0476	1.2919	0.9197	NA
ENSG00000224969	1.2225	-0.037	1.0977	0.9509	0.9668
ENSG00000188157	2087.4395	3.2638	0.4741	0	0
ENSG00000217801	15.5641	2.4435	0.9179	3e-04	0.0016
ENSG00000273443	0.4975	0.5384	1.2655	0.3288	NA
ENSG00000131591	131.7594	3.4558	0.4268	0	0
ENSG00000162571	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000186827	4.2452	1.7192	1.0187	0.0127	0.0351
ENSG00000078808	3620.7218	3.0956	0.5069	0	0
ENSG00000176022	444.5468	1.3714	0.3631	1e-04	4e-04
ENSG00000184163	2.8939	2.4676	1.46	0.0022	0.008
ENSG00000260179	1.3751	1.2063	1.203	0.0707	0.1403
ENSG00000160087	962.1648	1.3941	0.3337	0	1e-04
ENSG00000230415	4.5652	1.1723	0.7324	0.047	0.1016
ENSG00000162572	29.0985	3.0278	0.5742	0	0
ENSG00000131584	259.0775	3.0651	0.5243	0	0
ENSG00000169972	129.5517	4.754	0.5011	0	0
ENSG00000127054	1455.0464	2.0643	0.3244	0	0
ENSG00000240731	32.5773	0.2187	0.4319	0.5871	0.6925
ENSG00000224051	360.8644	2.6709	0.369	0	0
ENSG00000169962	2.214	1.406	1.1288	0.0409	0.0909
ENSG00000107404	502.8445	4.0508	0.5269	0	0
ENSG00000162576	76.0892	1.1537	0.8321	0.0661	0.1334
ENSG00000175756	908.387	4.3976	0.5473	0	0
ENSG00000223663	0.3943	0.0223	1.2507	0.9652	NA
ENSG00000221978	2346.1809	0.5163	0.2424	0.0296	0.0702
ENSG00000224870	194.3798	1.9045	0.3059	0	0
ENSG00000242485	1151.445	1.6273	0.3125	0	0
ENSG00000272455	42.3181	0.6666	0.4455	0.1067	0.1928
ENSG00000235098	5.8658	1.8772	1.1008	0.0086	0.0253
ENSG00000225905	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000205116	0.3971	0.2557	1.3029	0.5923	NA
ENSG00000225285	3.3325	2.9214	1.4661	6e-04	0.0026
ENSG00000179403	516.8095	5.1885	0.8675	NA	NA
ENSG00000215915	27.9168	3.7602	0.5525	0	0
ENSG00000160072	680.4239	2.9296	0.4819	0	0
ENSG00000197785	813.4088	3.6468	0.6165	0	0
ENSG00000205090	27.2022	4.1238	0.6915	0	0
ENSG00000160075	1989.6417	1.059	0.2827	1e-04	6e-04
ENSG00000215014	8.1899	0.4519	0.5358	0.3462	0.468
ENSG00000228594	13.714	5.3213	1.0812	0	0
ENSG00000272106	33.4002	0.8004	0.4282	0.0451	0.0982
ENSG00000197530	213.5826	3.8988	0.5303	0	0
ENSG00000189409	2.7745	1.4943	1.2073	0.0321	0.075
ENSG00000248333	1935.4701	0.2025	0.246	0.4002	0.5216
ENSG00000272004	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000189339	1619.3664	-0.2564	0.3239	0.4107	0.5322
ENSG00000269737	38.1832	-0.2961	0.5134	0.5237	0.6369
ENSG00000215914	2.8343	1.5934	1.2003	0.024	0.0593
ENSG00000008128	63.7776	1.1403	0.349	6e-04	0.0028
ENSG00000268575	38.8198	-0.0077	0.4938	0.9864	0.9906
ENSG00000227775	140.504	0.7441	0.4873	0.0945	0.1756
ENSG00000215790	136.6915	0.3653	0.3793	0.3096	0.4308
ENSG00000008130	1339.6443	2.0284	0.3227	0	0
ENSG00000078369	11688.9927	0.4407	0.198	0.024	0.0592
ENSG00000231050	2.7453	2.3769	1.45	0.0028	0.0099
ENSG00000169885	2.5734	1.3909	1.0291	0.0401	0.0896
ENSG00000178821	4.8566	2.2344	0.9583	0.0012	0.0048
ENSG00000233542	0.5328	0.4601	1.1854	0.431	NA
ENSG00000187730	0.1029	-0.0476	1.2919	0.9197	NA
ENSG00000067606	47.855	-3.4248	1.2343	0	3e-04
ENSG00000271806	0.707	-0.1493	1.2742	0.7627	NA
ENSG00000182873	4.5495	-0.2823	0.855	0.6505	0.746
ENSG00000162585	375.1969	3.5296	0.4807	0	0
ENSG00000157933	1746.0085	0.4369	0.29	0.1203	0.2111
ENSG00000116151	53.5442	1.1128	0.3151	2e-04	0.0013
ENSG00000269896	7.9253	0.5225	0.6341	0.334	0.4558
ENSG00000272420	0.7049	0.3382	1.1607	0.5632	NA
ENSG00000157916	2191.2086	0.6809	0.263	0.0079	0.0237
ENSG00000157911	315.6163	1.2228	0.2488	0	0
ENSG00000149527	2.4231	1.2757	1.0194	0.0572	0.119
ENSG00000224387	0.0963	0.1454	1.2958	0.7585	NA
ENSG00000157881	372.2378	1.4349	0.3038	0	0
ENSG00000272449	7.3737	3.1637	1.1304	1e-04	4e-04
ENSG00000238164	29.5427	2.7503	0.5743	0	0
ENSG00000157873	706.4001	2.6909	0.5002	0	0
ENSG00000225931	1.1368	0.5088	1.0786	0.4148	0.5365
ENSG00000228037	1.1339	0.31	1.0395	0.6187	0.7201
ENSG00000157870	934.6122	1.9623	0.2938	0	0
ENSG00000142606	10.3051	1.6819	0.7124	0.0038	0.0128
ENSG00000215912	3.2268	-0.8069	0.832	0.1956	0.3057
ENSG00000142611	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000279839	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000272235	0.3895	0.2498	1.3024	0.6007	NA
ENSG00000130762	5.85	1.6474	0.9194	0.0129	0.0355
ENSG00000272088	3.6373	-1.1661	1.2409	0.0762	0.149
ENSG00000162591	711.4915	3.0038	0.5822	0	0
ENSG00000238260	6.3621	2.3478	0.941	6e-04	0.0027
ENSG00000158109	2087.6627	0.661	0.2769	0.0141	0.0381
ENSG00000116213	342.066	2.1974	0.3341	0	0
ENSG00000078900	3.0067	1.552	1.039	0.0238	0.059
ENSG00000227589	1.6359	0.6777	1.0636	0.2872	0.4069
ENSG00000227372	512.7392	-0.5166	0.2599	0.0416	0.0922
ENSG00000162592	0.242	0.0488	1.2919	0.9177	NA
ENSG00000235169	1.3669	1.6208	1.2976	0.0222	0.0557
ENSG00000130764	778.3474	1.5548	0.2068	0	0
ENSG00000266075	0.4899	-0.221	1.1789	0.6972	NA
ENSG00000272153	10.2985	1.0444	0.579	0.0396	0.0887
ENSG00000116198	1077.4073	-0.5021	0.1989	0.0104	0.0298
ENSG00000169598	200.5395	0.743	0.2629	0.0037	0.0126
ENSG00000198912	453.7394	0.6733	0.2145	0.0014	0.0056
ENSG00000236423	3.6556	1.138	0.9039	0.0784	0.1524
ENSG00000229280	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000196581	1.3245	-0.1979	1.1731	0.7284	0.8079
ENSG00000131697	169.914	1.2849	0.4278	0.0013	0.0051
ENSG00000069424	97.9009	1.1098	0.4966	0.0139	0.0377
ENSG00000116254	2.9375	0.528	0.8698	0.4007	0.5221
ENSG00000116251	18230.2653	-0.5143	0.2549	0.0388	0.0872
ENSG00000226944	1.743	0.9789	0.9813	0.1342	0.2294
ENSG00000158286	96.9581	-0.0145	0.4437	0.972	0.9813
ENSG00000116237	2669.7406	0.6444	0.2846	0.0196	0.0504
ENSG00000225077	2.8719	1.6753	1.1496	0.0181	0.0471
ENSG00000158292	90.4693	1.6012	0.4569	1e-04	8e-04
ENSG00000097021	1228.4068	3.4071	0.618	0	0
ENSG00000069812	386.353	1.4958	0.6719	0.0076	0.023
ENSG00000187017	17.4526	3.5261	0.9894	0	0
ENSG00000231868	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000215788	185.0775	1.3564	0.3887	2e-04	0.0011
ENSG00000171680	694.7343	1.7948	0.3404	0	0
ENSG00000162408	987.6043	-0.3418	0.2954	0.2322	0.3479
ENSG00000253022	0.2915	-0.2057	1.2974	0.6663	NA
ENSG00000229519	9.3329	-3.0383	1.0067	0	2e-04
ENSG00000173662	1.1531	0.9842	1.1971	0.1256	0.218
ENSG00000204859	170.5255	1.7245	0.3772	0	0
ENSG00000162413	717.4146	1.746	0.2728	0	0
ENSG00000116273	526.0055	0.7096	0.2118	7e-04	0.0029
ENSG00000041988	174.9386	2.684	0.4143	0	0
ENSG00000007923	1320.1159	-0.236	0.3395	0.4683	0.5865
ENSG00000228750	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000237436	2.1065	0.8525	0.9079	0.1833	0.2908
ENSG00000171735	667.123	0.1293	0.363	0.7084	0.7929
ENSG00000227950	0.2104	0.0488	1.2919	0.9177	NA
ENSG00000237365	0.2057	-0.1467	1.2951	0.7569	NA
ENSG00000237402	0.1774	0.2202	1.3001	0.6436	NA
ENSG00000237728	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000225126	1.0209	0.5107	1.1032	0.4087	NA
ENSG00000270171	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000270035	0.2814	0.2825	1.3052	0.5553	NA
ENSG00000269978	1.4445	0.9402	1.1102	0.1485	0.248
ENSG00000049245	5988.7514	-0.5118	0.2646	0.0472	0.102
ENSG00000269925	18.754	-0.3425	0.534	0.4742	0.592
ENSG00000049246	230.916	-1.7727	0.5393	2e-04	0.0011
ENSG00000236266	1.7458	-0.852	1.096	0.1866	0.2949
ENSG00000049247	8.6283	1.1809	1.4758	0.0432	0.0949
ENSG00000049249	27.2459	-2.5407	1.2033	0.001	0.0042
ENSG00000116288	3750.3269	0.658	0.234	0.0041	0.0136
ENSG00000200344	0.9489	-0.1242	1.0493	0.8402	NA
ENSG00000116285	2538.5842	-1.0104	0.5289	0.0331	0.0769
ENSG00000238290	3.5095	-0.004	0.7391	0.9946	0.9964
ENSG00000232848	3.3442	2.8413	1.4773	8e-04	0.0033
ENSG00000229305	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000227634	0.2027	0.0488	1.2919	0.9177	NA
ENSG00000162426	33.7403	2.9685	0.563	0	0
ENSG00000252254	0.2414	0.0488	1.2919	0.9177	NA
ENSG00000142599	2516.3557	0.0012	0.2827	0.9966	0.9978
ENSG00000232912	4.1988	-0.3908	0.7158	0.5012	0.616
ENSG00000221083	0.362	-0.2986	1.2671	0.562	NA
ENSG00000270282	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000234619	2.0754	0.2044	0.9966	0.7445	0.8194
ENSG00000224315	2.1494	-0.6597	1.0183	0.3026	0.4237
ENSG00000222511	1.0239	-0.864	1.2589	0.1559	NA
ENSG00000226545	1.004	-0.6201	1.2982	0.2557	NA
ENSG00000228423	1.6153	-1.2169	1.3017	0.0625	0.1277
ENSG00000074800	37546.6394	1.2506	0.4599	0.0031	0.0109
ENSG00000274258	0.6687	-0.2106	1.1554	0.7164	NA
ENSG00000236269	6.9992	-0.6667	0.6838	0.2394	0.3559
ENSG00000230679	2.5848	-0.181	0.8245	0.7691	0.838
ENSG00000201725	0.1029	-0.0476	1.2919	0.9197	NA
ENSG00000238249	2.6233	0.1016	0.853	0.8702	0.911
ENSG00000232208	0.4817	0.3736	1.3153	0.4403	NA
ENSG00000197241	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000142583	0.5011	0.1268	1.2376	0.8088	NA
ENSG00000180758	131.0721	0.3765	0.3318	0.2374	0.3537
ENSG00000228526	448.1102	0.1258	0.2933	0.6582	0.7522
ENSG00000234546	70.129	0.3564	0.307	0.2294	0.3446
ENSG00000281937	3.4845	-0.2899	0.7518	0.6262	0.726
ENSG00000049239	2225.1333	0.1932	0.2991	0.5046	0.6193
ENSG00000171621	740.6279	1.102	0.5691	0.0278	0.0669
ENSG00000171612	251.9148	0.3929	0.2502	0.1081	0.1948
ENSG00000231181	10.1895	-0.0122	0.6158	0.9817	0.9873
ENSG00000188807	262.5326	2.6188	0.4412	0	0
ENSG00000171608	223.07	0.7437	0.3342	0.0204	0.0519
ENSG00000231789	7.5652	0.0415	0.7724	0.9451	0.9632
ENSG00000171603	5850.7076	0.7529	0.2796	0.0056	0.0176
ENSG00000271264	0.2281	-0.16	1.2955	0.736	NA
ENSG00000280113	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000178585	491.6833	1.0142	0.3227	0.0011	0.0044
ENSG00000162441	861.7938	-0.7785	0.2395	9e-04	0.0038
ENSG00000228150	6.2082	0.7697	0.7506	0.1968	0.3071
ENSG00000173614	376.9508	-0.7985	0.3228	0.0101	0.029
ENSG00000202415	2.3057	-0.0702	0.8342	0.9097	0.9388
ENSG00000283611	2.192	-0.8921	0.987	0.1702	0.2751
ENSG00000265521	0.5084	-0.4582	1.2516	0.4028	NA
ENSG00000162444	5.9836	-0.2065	1.0312	0.7398	0.8161
ENSG00000130939	2170.4561	-0.3144	0.188	0.0903	0.1696
ENSG00000224340	0.7504	-0.8906	1.1937	0.1588	NA
ENSG00000233623	0.5793	0.3337	1.2348	0.5388	NA
ENSG00000201746	0.5367	-0.3501	1.3006	0.4781	NA
ENSG00000054523	3591.6664	-1.0949	0.2928	1e-04	6e-04
ENSG00000199562	3.8562	-0.367	0.9243	0.5615	0.6703
ENSG00000142657	6944.3502	0.8431	0.4126	0.0293	0.0697
ENSG00000271989	0.242	0.0488	1.2919	0.9177	NA
ENSG00000251503	1.687	-1.0077	1.0658	0.1258	0.2181
ENSG00000175279	15.4383	1.5171	0.4537	3e-04	0.0014
ENSG00000241563	2.7196	0.2412	0.9603	0.702	0.7879
ENSG00000160049	1595.7425	0.0923	0.1777	0.5993	0.7029
ENSG00000142655	378.711	1.7339	0.3521	0	0
ENSG00000243267	0.5447	-0.3031	1.1684	0.6005	NA
ENSG00000130940	48.2343	1.5083	0.4596	4e-04	0.0017
ENSG00000272078	9.3185	2.7089	0.7477	0	1e-04
ENSG00000215785	0.2955	0.131	1.2933	0.7826	NA
ENSG00000120948	2725.3576	-0.1093	0.2088	0.5948	0.699
ENSG00000277726	0.4114	-0.2768	1.302	0.5652	NA
ENSG00000009724	64.3862	-1.864	0.3962	0	0
ENSG00000271895	27.9164	-0.708	0.5075	0.1235	0.2154
ENSG00000116649	1384.6644	2.5254	0.5186	0	0
ENSG00000171824	2381.0146	-0.0607	0.2722	0.8187	0.8734
ENSG00000226849	4.6316	0.1162	0.7014	0.8397	0.8885
ENSG00000230337	2.9967	0.4473	0.7708	0.4576	0.5769
ENSG00000198793	3340.1236	-0.446	0.243	0.0608	0.1248
ENSG00000225602	1.7603	-1.5955	1.2945	0.0238	0.059
ENSG00000253086	0.1451	-0.0476	1.2919	0.9197	NA
ENSG00000171819	3.17	-1.0642	1.1811	0.1039	0.1889
ENSG00000238173	1.2767	-0.1355	1.0306	0.8271	0.8797
ENSG00000120942	455.5803	0.0712	0.2981	0.8051	0.8636
ENSG00000238199	3.2483	-1.5367	1.1287	0.0275	0.0663
ENSG00000204624	0.6509	0.3197	1.1637	0.583	NA
ENSG00000235643	0.1927	0.2293	1.3007	0.6302	NA
ENSG00000116661	7.5206	1.2238	0.9276	0.0613	0.1257
ENSG00000132879	239.016	1.7831	0.3634	0	0
ENSG00000116663	71.398	1.9323	0.4389	0	0
ENSG00000116670	431.0084	2.2011	0.3589	0	0
ENSG00000162490	10.7423	-1.7547	0.7141	0.0026	0.0092
ENSG00000177674	488.5881	3.1353	0.291	0	0
ENSG00000215910	0.3008	0.1454	1.2958	0.7585	NA
ENSG00000177000	588.4425	-0.0013	0.4107	0.9973	0.9983
ENSG00000011021	798.3603	0.0048	0.2802	0.9861	0.9904
ENSG00000242349	7.3313	-0.6573	0.6093	0.2119	0.3249
ENSG00000175206	4.4697	1.0173	0.8647	0.1092	0.1962
ENSG00000199347	3.4604	-1.6567	1.019	0.016	0.0424
ENSG00000201801	2.0322	-1.2602	1.2311	0.0603	0.124
ENSG00000116685	1198.7883	2.2597	0.2337	0	0
ENSG00000083444	7486.315	1.1834	0.4815	0.0071	0.0217
ENSG00000116688	3370.7552	0.2337	0.307	0.4307	0.552
ENSG00000270914	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000116691	230.5266	2.8721	0.6014	0	0
ENSG00000202461	2.5761	-0.1866	0.8946	0.7663	0.8358
ENSG00000120949	3.6718	1.786	1.1103	0.012	0.0333
ENSG00000028137	1215.874	1.374	0.5244	0.0035	0.0118
ENSG00000263676	0.3008	0.1454	1.2958	0.7585	NA
ENSG00000048707	2966.8352	-1.3746	0.2464	0	0
ENSG00000239149	7.3056	0.7534	0.5799	0.1384	0.235
ENSG00000229484	0.0963	0.1454	1.2958	0.7585	NA
ENSG00000162496	554.676	-0.326	0.5452	0.5025	0.6172
ENSG00000221340	1.9117	-0.3622	0.9977	0.5656	0.674
ENSG00000276830	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000272482	6.5351	-1.8217	0.8125	0.0037	0.0124
ENSG00000188984	0.1451	-0.0476	1.2919	0.9197	NA
ENSG00000179172	3.5747	0.7364	0.8202	0.2345	0.3505
ENSG00000277058	2.7835	-0.5655	0.8632	0.3675	0.4893
ENSG00000275774	1.0546	0.4664	1.0372	0.4585	NA
ENSG00000179412	5.3646	-0.8566	0.7077	0.1386	0.2352
ENSG00000162494	0.114	-0.0476	1.2919	0.9197	NA
ENSG00000162493	1141.1345	-4.7615	1.9288	0	1e-04
ENSG00000222952	0.2169	-0.1529	1.2953	0.7471	NA
ENSG00000116731	1587.3857	-1.5733	0.2872	0	0
ENSG00000189337	208.852	-0.8612	0.3642	0.0129	0.0356
ENSG00000175147	1.5172	-0.3172	1.0171	0.6128	0.7151
ENSG00000171729	254.8038	1.0637	0.4072	0.0054	0.017
ENSG00000204464	1.7452	-1.0877	1.218	0.095	0.1763
ENSG00000215720	1.4772	-0.5594	1.0092	0.3792	0.5011
ENSG00000278480	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000142621	10.2801	-0.0641	0.6968	0.9108	0.9396
ENSG00000233485	0.4042	-0.2666	1.3012	0.5791	NA
ENSG00000236045	0.5123	0.1251	1.2354	0.8119	NA
ENSG00000228140	3.3984	-0.6608	0.7364	0.2629	0.381
ENSG00000142634	1914.5058	3.164	0.5243	0	0
ENSG00000162438	0.4153	0.1895	1.2958	0.6911	NA
ENSG00000142615	0.0887	0.1454	1.2958	0.7585	NA
ENSG00000215704	2.2902	-0.2258	0.9047	0.7197	0.8015
ENSG00000132906	224.3884	0.7154	0.2457	0.0029	0.0102
ENSG00000116138	1022.935	-1.2575	0.2579	0	0
ENSG00000251866	0.1451	-0.0476	1.2919	0.9197	NA
ENSG00000272510	0.5282	-0.088	1.2298	0.8678	NA
ENSG00000116771	37.5938	0.9246	0.5706	0.0657	0.1327
ENSG00000237301	0.6026	0.0612	1.2833	0.8989	NA
ENSG00000235084	8.9192	1.1912	0.8233	0.0568	0.1183
ENSG00000252417	0.0858	-0.0476	1.2919	0.9197	NA
ENSG00000197312	1248.5283	-0.8745	0.3166	0.0041	0.0137
ENSG00000271742	0.3732	-0.2514	1.3	0.6003	NA
ENSG00000116786	1414.4872	2.0646	0.293	0	0
ENSG00000237938	16.7969	-1.0378	0.4919	0.0205	0.0522
ENSG00000162461	19.2998	1.4851	0.4486	3e-04	0.0016
ENSG00000224459	15.1389	1.0221	0.5185	0.0286	0.0684
ENSG00000162460	4.5366	2.4973	1.2453	0.0013	0.0054
ENSG00000162458	6058.6014	1.25	0.3176	0	3e-04
ENSG00000224321	14.0614	0.6113	0.5834	0.2314	0.347
ENSG00000233954	305.4313	0.6308	0.2694	0.0162	0.0428
ENSG00000178715	9.2325	1.8028	0.6868	0.0015	0.0059
ENSG00000179743	32.0065	2.0098	0.4446	0	0
ENSG00000065526	3059.4975	-1.1069	0.2868	1e-04	4e-04
ENSG00000270620	0.3421	-0.2354	1.299	0.623	NA
ENSG00000116809	395.4311	2.7779	0.4467	0	0
ENSG00000234607	0.7674	-0.3162	1.153	0.5901	NA
ENSG00000183888	1.2377	-0.5738	1.2283	0.3204	0.4419
ENSG00000173641	3.0278	0.1364	0.9966	0.8275	0.8799
ENSG00000186510	0.2526	0.2557	1.3029	0.5923	NA
ENSG00000232456	1.7735	1.5751	1.3607	0.024	0.0594
ENSG00000184908	2.546	0.3003	0.9107	0.6337	0.7321
ENSG00000185519	17.4009	2.5723	0.7435	0	1e-04
ENSG00000142627	2714.4125	1.501	0.301	0	0
ENSG00000227959	5.143	1.6947	0.8768	0.0091	0.0267
ENSG00000224621	5.1799	-1.0975	0.7547	0.0671	0.1349
ENSG00000142632	57.6497	2.5227	0.5029	0	0
ENSG00000237276	10.5972	1.4779	0.9272	0.0253	0.0618
ENSG00000132881	40.1207	2.143	0.5253	0	0
ENSG00000233929	1.3564	0.9912	1.1039	0.1305	0.2245
ENSG00000037637	661.7848	-0.3669	0.2263	0.0986	0.1816
ENSG00000055070	2911.7005	0.8344	0.2173	1e-04	6e-04
ENSG00000226457	4.4555	-0.4751	0.6797	0.4001	0.5215
ENSG00000187144	1.501	-1.2471	1.1452	0.0647	0.1311
ENSG00000157191	2569.6975	0.4831	0.2028	0.0156	0.0416
ENSG00000226029	26.387	-0.5488	0.3998	0.145	0.2434
ENSG00000080947	89.4532	-0.1524	0.3883	0.678	0.7689
ENSG00000206652	333.1107	-0.6506	0.6632	0.2422	0.3588
ENSG00000261135	5.4211	-0.3943	0.635	0.4663	0.5847
ENSG00000224174	14.5546	1.0382	0.5095	0.0242	0.0597
ENSG00000233421	27.2242	1.5352	0.7771	0.0119	0.0333
ENSG00000277344	0.0963	0.1454	1.2958	0.7585	NA
ENSG00000225710	0.5143	-0.3246	1.3066	0.5025	NA
ENSG00000219481	2617.9557	-1.275	0.2169	0	0
ENSG00000271732	1.3161	-1.1418	1.1304	0.0867	0.1642
ENSG00000215908	332.7491	1.8781	0.3875	0	0
ENSG00000186301	18.7911	1.279	0.6118	0.0153	0.0408
ENSG00000282143	7.6235	-0.2641	0.9175	NA	NA
ENSG00000207513	333.3078	-0.6538	0.6632	0.24	0.3564
ENSG00000280114	3.1885	-0.9491	1.3938	NA	NA
ENSG00000236698	217.5112	0.3325	0.3934	0.3705	0.4924
ENSG00000282740	7.8356	-0.2294	0.9092	NA	NA
ENSG00000058453	407.671	3.2102	0.4329	0	0
ENSG00000227684	0.1774	0.2202	1.3001	0.6436	NA
ENSG00000207389	333.5511	-0.6488	0.6628	0.2434	0.3601
ENSG00000186715	16.1276	0.4184	0.6747	0.4566	0.5762
ENSG00000223643	0.1886	-0.1367	1.2947	0.7729	NA
ENSG00000230239	1.1314	-0.4987	1.3325	0.3128	0.4342
ENSG00000228549	34.784	1.0724	0.7908	0.0803	0.155
ENSG00000238142	26.9249	0.3617	0.5314	0.4481	0.5682
ENSG00000235241	3.9615	1.4902	0.9193	0.0237	0.0587
ENSG00000207005	332.5784	-0.6441	0.6629	0.2469	0.3636
ENSG00000272426	1.5343	0.7076	1.0377	0.2698	0.3882
ENSG00000117122	746.2346	0.1044	0.527	0.8255	0.8784
ENSG00000226526	0.9155	0.0698	1.2019	0.8987	NA
ENSG00000159363	915.4998	2.6636	0.4334	0	0
ENSG00000117118	1891.6025	0.8372	0.248	6e-04	0.0025
ENSG00000117115	6.5761	1.1103	0.8374	0.0775	0.151
ENSG00000282843	0.0963	0.1454	1.2958	0.7585	NA
ENSG00000142623	6.7761	-1.0427	1.0902	NA	NA
ENSG00000142619	0.5018	0.0938	1.2301	0.8591	NA
ENSG00000179051	3366.6692	0.3086	0.3036	0.293	0.4133
ENSG00000074964	58.4158	1.801	0.872	0.0056	0.0176
ENSG00000117154	0.0858	-0.0476	1.2919	0.9197	NA
ENSG00000230035	0.0858	-0.0476	1.2919	0.9197	NA
ENSG00000179023	0.1562	0.1454	1.2958	0.7585	NA
ENSG00000159423	191.233	2.1947	0.4351	0	0
ENSG00000169991	1006.078	0.2924	0.4662	0.496	0.6113
ENSG00000272084	5.3659	1.0175	0.7129	0.0799	0.1545
ENSG00000127481	7590.5559	-0.8773	0.2732	0.001	0.004
ENSG00000230424	4.66	0.7072	0.7697	0.241	0.3575
ENSG00000127463	3148.6223	0.0841	0.3521	0.8026	0.8621
ENSG00000053372	1472.9151	0.869	0.4457	0.0354	0.0812
ENSG00000211454	7.0243	1.0137	0.6528	0.0658	0.1328
ENSG00000162482	10.2211	1.0815	0.5386	0.0245	0.0603
ENSG00000270728	20.2	-0.7491	0.5655	0.1335	0.2286
ENSG00000053371	680.7403	2.4231	0.3273	0	0
